lat1,long1,lat2,long2,dis,time
30.68022,76.74758,30.69022,76.76758,2632,283
30.68022,76.74758,30.70022,76.71758,4463,677
30.68022,76.74758,30.70022,76.72758,3252,569
30.68022,76.74758,30.70022,76.73758,3180,435
30.68022,76.74758,30.70022,76.74758,3190,474
30.68022,76.74758,30.70022,76.75758,3502,488
30.68022,76.74758,30.70022,76.76758,3586,483
30.68022,76.74758,30.70022,76.77758,4426,475
30.68022,76.74758,30.70022,76.78758,5046,592
30.68022,76.74758,30.71022,76.70758,6488,977
30.68022,76.74758,30.71022,76.71758,5377,778
30.68022,76.74758,30.71022,76.72758,5012,696
30.68022,76.74758,30.71022,76.73758,4593,637
30.68022,76.74758,30.71022,76.74758,4515,550
30.68022,76.74758,30.71022,76.75758,6080,710
30.68022,76.74758,30.71022,76.76758,5515,703
30.68022,76.74758,30.71022,76.77758,5567,691
30.68022,76.74758,30.71022,76.78758,5923,804
30.68022,76.74758,30.71022,76.79758,6656,915
30.68022,76.74758,30.72022,76.70758,7099,1095
30.68022,76.74758,30.72022,76.71758,6474,865
30.68022,76.74758,30.72022,76.72758,6170,899
30.68022,76.74758,30.72022,76.73758,6020,714
30.68022,76.74758,30.72022,76.74758,6151,769
30.68022,76.74758,30.72022,76.75758,8097,983
30.68022,76.74758,30.72022,76.76758,7387,965
30.68022,76.74758,30.72022,76.77758,7684,898
30.68022,76.74758,30.72022,76.78758,7925,914
30.68022,76.74758,30.72022,76.79758,7880,964
30.68022,76.74758,30.72022,76.80758,8225,1028
30.68022,76.74758,30.72022,76.81758,8672,1121
30.68022,76.74758,30.73022,76.69758,7996,1098
30.68022,76.74758,30.73022,76.70758,8676,1120
30.68022,76.74758,30.73022,76.71758,7392,998
30.68022,76.74758,30.73022,76.72758,7679,856
30.68022,76.74758,30.73022,76.73758,8044,948
30.68022,76.74758,30.73022,76.74758,7779,975
30.68022,76.74758,30.73022,76.75758,8227,979
30.68022,76.74758,30.73022,76.76758,9528,1215
30.68022,76.74758,30.73022,76.77758,8561,1033
30.68022,76.74758,30.73022,76.78758,9601,1189
30.68022,76.74758,30.73022,76.79758,8959,1092
30.68022,76.74758,30.73022,76.80758,9701,1251
30.68022,76.74758,30.73022,76.81758,9963,1234
30.68022,76.74758,30.73022,76.82758,10867,1342
30.68022,76.74758,30.73022,76.83758,12022,1426
30.68022,76.74758,30.74022,76.68758,9874,1378
30.68022,76.74758,30.74022,76.69758,9490,1414
30.68022,76.74758,30.74022,76.70758,11072,1196
30.68022,76.74758,30.74022,76.71758,9515,982
30.68022,76.74758,30.74022,76.72758,9347,1056
30.68022,76.74758,30.74022,76.73758,8931,1036
30.68022,76.74758,30.74022,76.74758,9584,1142
30.68022,76.74758,30.74022,76.75758,10831,1218
30.68022,76.74758,30.74022,76.76758,9680,1184
30.68022,76.74758,30.74022,76.77758,10327,1228
30.68022,76.74758,30.74022,76.78758,10319,1324
30.68022,76.74758,30.74022,76.79758,10561,1298
30.68022,76.74758,30.74022,76.80758,11074,1345
30.68022,76.74758,30.74022,76.81758,10195,1280
30.68022,76.74758,30.74022,76.82758,11237,1416
30.68022,76.74758,30.74022,76.83758,13690,1680
30.68022,76.74758,30.75022,76.68758,12100,1860
30.68022,76.74758,30.75022,76.69758,12948,1601
30.68022,76.74758,30.75022,76.70758,12070,1408
30.68022,76.74758,30.75022,76.71758,10906,1154
30.68022,76.74758,30.75022,76.72758,10570,1128
30.68022,76.74758,30.75022,76.73758,11009,1210
30.68022,76.74758,30.75022,76.74758,10741,1168
30.68022,76.74758,30.75022,76.75758,10971,1235
30.68022,76.74758,30.75022,76.76758,12137,1351
30.68022,76.74758,30.75022,76.77758,11494,1393
30.68022,76.74758,30.75022,76.78758,12224,1428
30.68022,76.74758,30.75022,76.79758,12537,1438
30.68022,76.74758,30.75022,76.80758,12220,1406
30.68022,76.74758,30.75022,76.81758,13446,1577
30.68022,76.74758,30.75022,76.82758,15032,1844
30.68022,76.74758,30.75022,76.83758,14240,1754
30.68022,76.74758,30.76022,76.68758,15401,1922
30.68022,76.74758,30.76022,76.69758,14019,1738
30.68022,76.74758,30.76022,76.70758,12832,1527
30.68022,76.74758,30.76022,76.71758,12415,1415
30.68022,76.74758,30.76022,76.72758,12268,1388
30.68022,76.74758,30.76022,76.73758,11909,1369
30.68022,76.74758,30.76022,76.74758,12603,1474
30.68022,76.74758,30.76022,76.75758,12544,1389
30.68022,76.74758,30.76022,76.76758,12743,1456
30.68022,76.74758,30.76022,76.77758,14221,1742
30.68022,76.74758,30.76022,76.78758,13937,1564
30.68022,76.74758,30.76022,76.79758,13498,1509
30.68022,76.74758,30.76022,76.80758,13856,1584
30.68022,76.74758,30.76022,76.81758,14001,1699
30.68022,76.74758,30.76022,76.82758,15066,1812
30.68022,76.74758,30.76022,76.83758,14976,1843
30.68022,76.74758,30.77022,76.68758,15351,1880
30.68022,76.74758,30.77022,76.69758,14433,1742
30.68022,76.74758,30.77022,76.70758,13866,1723
30.68022,76.74758,30.77022,76.71758,14188,1694
30.68022,76.74758,30.77022,76.72758,13210,1532
30.68022,76.74758,30.77022,76.73758,14437,1661
30.68022,76.74758,30.77022,76.74758,13544,1538
30.68022,76.74758,30.77022,76.75758,13904,1640
30.68022,76.74758,30.77022,76.76758,14274,1566
30.68022,76.74758,30.77022,76.77758,15286,1692
30.68022,76.74758,30.77022,76.78758,15191,1712
30.68022,76.74758,30.77022,76.79758,16376,1782
30.68022,76.74758,30.77022,76.80758,16249,1780
30.68022,76.74758,30.77022,76.81758,17188,1900
30.68022,76.74758,30.77022,76.82758,16170,1994
30.68022,76.74758,30.77022,76.83758,16170,1994
30.68022,76.74758,30.78022,76.68758,16192,2004
30.68022,76.74758,30.78022,76.69758,17833,2095
30.68022,76.74758,30.78022,76.70758,16358,1927
30.68022,76.74758,30.78022,76.71758,14993,1663
30.68022,76.74758,30.78022,76.72758,15030,1765
30.68022,76.74758,30.78022,76.73758,16197,1986
30.68022,76.74758,30.78022,76.74758,14781,1674
30.68022,76.74758,30.78022,76.75758,15102,1719
30.68022,76.74758,30.78022,76.76758,16325,1908
30.68022,76.74758,30.78022,76.77758,15964,1988
30.68022,76.74758,30.78022,76.78758,17135,2018
30.68022,76.74758,30.78022,76.79758,16843,2125
30.68022,76.74758,30.78022,76.80758,17707,2134
30.68022,76.74758,30.78022,76.81758,19386,2528
30.68022,76.74758,30.78022,76.82758,19464,2548
30.68022,76.74758,30.78022,76.83758,16170,1994
30.68022,76.74758,30.79022,76.68758,18750,2017
30.68022,76.74758,30.79022,76.69758,19007,2073
30.68022,76.74758,30.79022,76.70758,17480,1884
30.68022,76.74758,30.79022,76.71758,15947,1756
30.68022,76.74758,30.79022,76.72758,16594,1963
30.68022,76.74758,30.79022,76.73758,17277,1917
30.68022,76.74758,30.79022,76.74758,16354,1776
30.68022,76.74758,30.79022,76.75758,17733,1978
30.68022,76.74758,30.79022,76.76758,17339,1988
